,amount,amount,amount
,sum,mean,count
customer_id,,,
CUST07752,258016.78999999998,1372.429734042553,188
CUST04992,305652.18,1370.6375784753363,223
CUST06323,264845.86,1614.9137804878048,164
CUST09061,271389.23,1466.9688108108107,185
CUST00563,288893.62,1313.1528181818182,220
CUST00705,283858.77,1384.6769268292685,205
CUST03057,252714.1,1380.9513661202186,183
CUST05235,252345.81,1287.4786224489796,196
CUST00854,298721.54000000004,1443.0992270531403,207
CUST05863,267265.64,1356.6783756345178,197
CUST05561,269184.16,1319.5301960784313,204
CUST07063,257381.01,1361.8042857142857,189
CUST03352,270639.02999999997,1326.6619117647058,204
CUST01855,257183.27,1360.7580423280422,189
CUST04684,249711.66,1342.5358064516129,186
CUST08564,257481.62,1256.0079024390243,205
CUST01814,276867.4,1427.1515463917526,194
CUST07394,256931.61,1427.3978333333332,180
CUST07468,308392.28,1335.0315151515154,231
CUST09805,290274.61,1444.1522885572138,201
CUST09990,294144.96,1355.5067281105992,217
CUST05956,225403.06,1357.8497590361446,166
CUST08011,284528.77,1394.7488725490198,204
CUST04629,308902.27,1385.2119730941704,223
CUST04531,287979.6,1339.4399999999998,215
CUST01558,301072.51,1426.8839336492892,211
CUST03505,271604.1,1331.3926470588235,204
CUST08816,291421.7,1349.174537037037,216
CUST08897,264044.12,1326.8548743718593,199
CUST08737,291751.55,1458.75775,200
CUST06479,246487.82,1369.3767777777778,180
CUST03618,282636.63,1339.51009478673,211
CUST00456,252909.15,1397.2881215469613,181
CUST03925,257686.0,1238.875,208
CUST06115,253207.35,1361.3298387096775,186
CUST09902,223863.11000000002,1301.5297093023257,172
CUST07319,314542.09,1423.267375565611,221
CUST08895,321342.57,1391.0933766233766,231
CUST04408,263284.02,1393.037142857143,189
CUST08095,236632.31,1336.9057062146892,177
CUST08331,263944.26,1367.5868393782384,193
CUST09687,336350.13,1508.2965470852018,223
CUST06494,263132.08999999997,1349.3953333333332,195
CUST02918,288332.01,1316.5845205479452,219
CUST01748,236441.84,1206.335918367347,196
CUST00008,261049.18,1298.7521393034826,201
CUST07672,279080.23,1374.7794581280787,203
CUST01212,277290.07,1386.45035,200
CUST00989,257189.48,1382.7391397849462,186
CUST00914,303713.4,1432.6103773584907,212
CUST09927,289541.48000000004,1433.3736633663368,202
CUST08732,278522.16,1326.2959999999998,210
CUST08073,347459.29000000004,1466.072953586498,237
CUST06891,281204.18,1295.871797235023,217
CUST04452,282156.11,1439.5719897959184,196
CUST07162,294925.37,1544.111884816754,191
CUST06785,283681.07,1469.850103626943,193
CUST00637,301711.68,1478.9788235294118,204
CUST03910,257621.88,1370.3291489361702,188
CUST08292,292901.09,1414.9811111111112,207
CUST02945,237743.69,1264.5940957446808,188
CUST04081,271735.83,1445.4033510638299,188
CUST02899,264405.46,1413.9329411764706,187
CUST07025,265323.02,1418.8396791443852,187
CUST02769,292691.63,1470.8122110552763,199
CUST07894,264566.23,1290.566975609756,205
CUST02446,264454.34,1363.166701030928,194
CUST01426,262630.75,1389.5806878306878,189
CUST05583,274828.89,1360.5390594059406,202
CUST04049,274634.73,1517.318950276243,181
CUST01469,274416.28,1429.2514583333334,192
CUST07531,323797.82,1595.0631527093597,203
CUST02376,214568.88999999998,1349.4898742138364,159
CUST02971,287582.47000000003,1409.7179901960785,204
CUST01692,268502.36,1413.1703157894735,190
CUST09064,258583.22,1353.8388481675393,191
CUST08211,262249.37,1351.8008762886598,194
CUST05234,291759.41,1389.3305238095236,210
CUST03484,289398.85,1418.62181372549,204
CUST07015,266691.86,1449.4122826086955,184
CUST01138,277835.65,1368.6485221674877,203
CUST08894,312042.55,1608.4667525773195,194
CUST07387,295910.53,1297.8532017543862,228
CUST05889,303153.88,1359.4344394618834,223
CUST06834,298345.88,1374.865806451613,217
CUST01808,293882.79,1317.8600448430493,223
CUST00004,227176.24,1183.2095833333333,192
CUST07422,271109.77,1481.4741530054646,183
CUST05273,275843.46,1386.1480402010052,199
CUST08160,289635.06,1540.6120212765957,188
CUST09156,236485.37,1407.6510119047618,168
CUST01087,332302.49,1470.365,226
CUST07502,298532.44,1350.825520361991,221
CUST09634,230927.51,1228.3378191489362,188
CUST07380,288990.16000000003,1389.3757692307695,208
CUST04361,285858.9,1374.3216346153847,208
CUST03730,258084.77,1351.229162303665,191
CUST04164,283850.89,1272.8739461883408,223
CUST00048,305517.82,1401.457889908257,218
CUST07497,240466.66,1233.162358974359,195
CUST01832,281162.63,1579.5653370786517,178
CUST04733,239537.01,1330.7611666666667,180
CUST02480,262859.61,1301.285198019802,202
CUST04737,298546.82,1375.791797235023,217
CUST07632,257783.13,1342.62046875,192
CUST05187,254880.28,1392.7884153005464,183
CUST04840,263103.76,1283.432975609756,205
CUST01385,273563.83,1367.81915,200
CUST01199,301382.55,1553.518298969072,194
CUST09454,298391.81,1455.5698048780487,205
CUST04949,289547.33999999997,1365.7893396226414,212
CUST08960,278462.59,1450.3259895833335,192
CUST02559,250506.76,1456.4346511627907,172
CUST01618,275218.79,1342.530682926829,205
CUST00470,320153.86,1584.920099009901,202
CUST06381,277991.15,1356.0543902439026,205
CUST08687,329461.59,1372.7566250000002,240
CUST06774,311292.81,1482.3467142857144,210
CUST04598,228197.09,1311.4775287356322,174
CUST09233,284524.31,1231.7069696969697,231
CUST00639,248462.53,1300.850942408377,191
CUST04039,253795.35,1364.4911290322582,186
CUST03100,272296.43,1496.1342307692307,182
CUST01220,282389.39,1518.2225268817206,186
CUST09664,281996.76,1431.4556345177666,197
CUST07240,306971.06,1370.406517857143,224
CUST03427,345718.9,1496.6186147186147,231
CUST04512,268909.88,1445.7520430107527,186
CUST07842,276994.81,1319.0229047619048,210
CUST05769,280509.8,1329.4303317535544,211
CUST08969,256629.47999999998,1387.1863783783783,185
CUST03955,267002.99,1451.1032065217391,184
CUST05245,254473.31,1318.5145595854922,193
CUST03703,285969.08,1394.9711219512196,205
CUST08144,237937.19,1344.27790960452,177
CUST01271,270664.04,1447.4012834224598,187
CUST07699,285872.17,1451.1277664974618,197
CUST09434,327102.49,1514.3633796296297,216
CUST06835,305510.72000000003,1434.3226291079814,213
CUST08755,283550.21,1461.5990206185568,194
CUST08296,290194.16,1395.1642307692307,208
CUST09861,233166.39,1154.2890594059406,202
CUST05765,276893.56,1357.3213725490195,204
CUST07999,327278.89,1522.2273953488373,215
CUST02571,272605.05,1304.3303827751195,209
CUST00635,326098.44,1364.428619246862,239
CUST07280,303462.89,1494.8910837438425,203
CUST00409,298139.33,1490.69665,200
CUST09555,273839.88,1244.7267272727272,220
CUST05159,285711.77,1373.6142788461539,208
CUST09632,227929.26,1238.7459782608696,184
CUST08634,280417.35000000003,1395.1111940298508,201
CUST00569,303457.87,1465.9800483091788,207
